treeType,plantingAreaAcre,plantingMonths,soilFertility,climateType,emissionReductionTCO2e
杉木,90,30,贫瘠土壤,热带季风气候,35.0
松树,120,36,中等肥力土壤,寒温带与亚寒带气候,75.0
栎树,130,39,肥沃土壤,滨海与盐碱化气候,130.0
樟树,110,33,中等肥力土壤,干旱与半干旱气候,40.0
榆树,150,45,肥沃土壤,温带季风气候,180.0
槐树,140,42,中等肥力土壤,亚热带季风气候,120.0
桦树,70,21,贫瘠土壤,热带季风气候,18.0
杨树,90,24,肥沃土壤,寒温带与亚寒带气候,80.0
桉树,110,33,中等肥力土壤,滨海与盐碱化气候,60.0
杉木,70,21,贫瘠土壤,温带大陆性气候,12.0
松树,100,30,肥沃土壤,亚热带季风气候,100.0
栎树,120,36,中等肥力土壤,温带季风气候,105.0
樟树,80,24,贫瘠土壤,干旱与半干旱气候,18.0
榆树,130,39,肥沃土壤,热带季风气候,170.0
槐树,100,30,中等肥力土壤,寒温带与亚寒带气候,65.0
桦树,40,9,贫瘠土壤,滨海与盐碱化气候,4.0
杨树,500,24,肥沃土壤,温带季风气候,350.0
桉树,600,30,中等肥力土壤,热带季风气候,480.0
杉木,400,18,肥沃土壤,亚热带季风气候,280.0
松树,700,36,中等肥力土壤,温带大陆性气候,520.0
栎树,300,20,肥沃土壤,温带季风气候,220.0
樟树,550,26,中等肥力土壤,亚热带季风气候,380.0
榆树,450,16,肥沃土壤,温带大陆性气候,260.0
槐树,650,32,中等肥力土壤,温带季风气候,440.0
桦树,350,22,肥沃土壤,寒温带与亚寒带气候,200.0
杨树,520,25,中等肥力土壤,温带季风气候,330.0
桉树,620,31,贫瘠土壤,热带季风气候,420.0
杉木,420,19,中等肥力土壤,亚热带季风气候,260.0
松树,720,37,贫瘠土壤,温带大陆性气候,460.0
栎树,320,21,中等肥力土壤,温带季风气候,200.0
樟树,570,27,贫瘠土壤,亚热带季风气候,340.0
榆树,470,17,中等肥力土壤,温带大陆性气候,240.0
槐树,670,33,贫瘠土壤,温带季风气候,400.0
桦树,370,23,中等肥力土壤,寒温带与亚寒带气候,180.0
杨树,540,28,贫瘠土壤,温带季风气候,300.0
桉树,640,34,肥沃土壤,热带季风气候,500.0
杉木,440,20,肥沃土壤,亚热带季风气候,300.0
松树,740,38,肥沃土壤,温带大陆性气候,560.0
栎树,340,24,肥沃土壤,温带季风气候,240.0
樟树,590,29,肥沃土壤,亚热带季风气候,400.0
榆树,490,19,肥沃土壤,温带大陆性气候,280.0
槐树,690,35,肥沃土壤,温带季风气候,460.0
桦树,390,25,肥沃土壤,寒温带与亚寒带气候,220.0
杨树,510,23,中等肥力土壤,滨海与盐碱化气候,280.0
桉树,610,30,中等肥力土壤,干旱与半干旱气候,380.0
杉木,410,18,中等肥力土壤,寒温带与亚寒带气候,200.0
松树,710,36,中等肥力土壤,滨海与盐碱化气候,460.0
栎树,310,20,中等肥力土壤,干旱与半干旱气候,180.0
樟树,560,26,中等肥力土壤,寒温带与亚寒带气候,300.0
榆树,460,16,中等肥力土壤,滨海与盐碱化气候,220.0
槐树,660,32,中等肥力土壤,干旱与半干旱气候,360.0
桦树,360,22,中等肥力土壤,滨海与盐碱化气候,160.0
杨树,530,24,贫瘠土壤,滨海与盐碱化气候,240.0
桉树,630,31,贫瘠土壤,干旱与半干旱气候,340.0
杉木,430,19,贫瘠土壤,寒温带与亚寒带气候,160.0
松树,730,37,贫瘠土壤,滨海与盐碱化气候,420.0
栎树,330,21,贫瘠土壤,干旱与半干旱气候,140.0
樟树,580,28,贫瘠土壤,寒温带与亚寒带气候,260.0
杨树,200,24,肥沃土壤,温带季风气候,320.0
桉树,150,30,中等肥力土壤,热带季风气候,270.0
杉木,180,18,肥沃土壤,亚热带季风气候,220.0
松树,250,36,中等肥力土壤,寒温带与亚寒带气候,380.0
栎树,120,20,贫瘠土壤,温带大陆性气候,130.0
樟树,160,26,肥沃土壤,亚热带季风气候,240.0
榆树,220,16,中等肥力土壤,温带大陆性气候,200.0
槐树,130,28,肥沃土壤,温带季风气候,210.0
桦树,190,22,中等肥力土壤,寒温带与亚寒带气候,250.0
杨树,170,32,贫瘠土壤,干旱与半干旱气候,160.0
桉树,210,14,肥沃土壤,热带季风气候,290.0
杉木,140,25,中等肥力土壤,亚热带季风气候,190.0
松树,230,34,肥沃土壤,寒温带与亚寒带气候,400.0
栎树,110,19,中等肥力土壤,温带大陆性气候,140.0
樟树,150,27,贫瘠土壤,亚热带季风气候,170.0
榆树,200,23,肥沃土壤,温带大陆性气候,230.0
槐树,135,30,中等肥力土壤,温带季风气候,220.0
桦树,180,21,贫瘠土壤,寒温带与亚寒带气候,180.0
杨树,240,15,肥沃土壤,温带季风气候,260.0
桉树,160,29,中等肥力土壤,热带季风气候,280.0
杉木,170,23,肥沃土壤,亚热带季风气候,230.0
松树,260,38,中等肥力土壤,寒温带与亚寒带气候,420.0
栎树,100,20,贫瘠土壤,温带大陆性气候,120.0
樟树,190,25,肥沃土壤,亚热带季风气候,260.0
榆树,210,17,中等肥力土壤,温带大陆性气候,210.0
槐树,140,30,肥沃土壤,温带季风气候,220.0
桦树,185,24,中等肥力土壤,寒温带与亚寒带气候,260.0
杨树,180,34,贫瘠土壤,干旱与半干旱气候,170.0
桉树,200,16,肥沃土壤,热带季风气候,300.0
杉木,150,26,中等肥力土壤,亚热带季风气候,200.0
松树,240,36,肥沃土壤,寒温带与亚寒带气候,410.0
栎树,110,22,中等肥力土壤,温带大陆性气候,150.0
樟树,160,28,贫瘠土壤,亚热带季风气候,180.0
榆树,220,21,肥沃土壤,温带大陆性气候,240.0
槐树,130,32,中等肥力土壤,温带季风气候,230.0
桦树,190,25,贫瘠土壤,寒温带与亚寒带气候,190.0
杨树,230,18,肥沃土壤,温带季风气候,270.0
桉树,170,30,中等肥力土壤,热带季风气候,290.0
杉木,180,24,肥沃土壤,亚热带季风气候,240.0
松树,270,40,中等肥力土壤,寒温带与亚寒带气候,440.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,180.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,40.0
桉树,120,30,肥沃土壤,热带季风气候,200.0
桉树,90,21,中等肥力土壤,亚热带季风气候,120.0
桉树,130,42,贫瘠土壤,滨海与盐碱化气候,100.0
杉木,110,27,肥沃土壤,亚热带季风气候,160.0
杉木,140,39,中等肥力土壤,温带季风气候,140.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,30.0
松树,95,22,肥沃土壤,温带大陆性气候,100.0
松树,125,33,中等肥力土壤,寒温带与亚寒带气候,110.0
松树,105,25,贫瘠土壤,干旱与半干旱气候,50.0
栎树,135,37,肥沃土壤,温带季风气候,170.0
栎树,115,28,中等肥力土壤,亚热带季风气候,130.0
栎树,85,20,贫瘠土壤,滨海与盐碱化气候,60.0
樟树,102,23,肥沃土壤,亚热带季风气候,150.0
樟树,122,34,中等肥力土壤,热带季风气候,160.0
樟树,92,26,贫瘠土壤,干旱与半干旱气候,45.0
榆树,145,40,肥沃土壤,温带大陆性气候,180.0
榆树,115,31,中等肥力土壤,温带季风气候,130.0
榆树,85,23,贫瘠土壤,寒温带与亚寒带气候,40.0
槐树,128,35,肥沃土壤,温带季风气候,160.0
槐树,108,26,中等肥力土壤,亚热带季风气候,120.0
槐树,98,29,贫瘠土壤,滨海与盐碱化气候,60.0
桦树,118,32,肥沃土壤,寒温带与亚寒带气候,130.0
桦树,138,41,中等肥力土壤,温带大陆性气候,140.0
桦树,108,24,贫瘠土壤,干旱与半干旱气候,50.0
杨树,160,48,肥沃土壤,亚热带季风气候,250.0
桉树,170,54,肥沃土壤,热带季风气候,300.0
杉木,150,45,肥沃土壤,温带季风气候,220.0
松树,140,42,肥沃土壤,寒温带与亚寒带气候,200.0
栎树,180,51,肥沃土壤,亚热带季风气候,260.0
樟树,165,46,肥沃土壤,热带季风气候,280.0
榆树,175,57,肥沃土壤,温带大陆性气候,230.0
槐树,155,43,肥沃土壤,温带季风气候,210.0
桦树,145,40,肥沃土壤,寒温带与亚寒带气候,190.0
杨树,80,12,贫瘠土壤,干旱与半干旱气候,20.0
桉树,90,15,贫瘠土壤,滨海与盐碱化气候,30.0
杉木,70,9,贫瘠土壤,寒温带与亚寒带气候,10.0
松树,85,18,贫瘠土壤,干旱与半干旱气候,25.0
栎树,95,21,贫瘠土壤,滨海与盐碱化气候,35.0
樟树,80,15,贫瘠土壤,干旱与半干旱气候,20.0
榆树,90,18,贫瘠土壤,寒温带与亚寒带气候,25.0
槐树,100,21,贫瘠土壤,滨海与盐碱化气候,30.0
桦树,95,15,贫瘠土壤,干旱与半干旱气候,20.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
桉树,150,30,中等肥力土壤,热带季风气候,200.0
杉木,80,18,肥沃土壤,亚热带季风气候,90.0
松树,200,36,中等肥力土壤,温带大陆性气候,250.0
栎树,120,26,肥沃土壤,温带季风气候,150.0
樟树,90,20,中等肥力土壤,亚热带季风气候,110.0
榆树,160,32,肥沃土壤,温带大陆性气候,180.0
槐树,130,28,中等肥力土壤,温带季风气候,140.0
桦树,170,34,肥沃土壤,寒温带与亚寒带气候,220.0
杨树,95,22,中等肥力土壤,温带大陆性气候,105.0
桉树,145,28,肥沃土壤,热带季风气候,190.0
杉木,75,16,中等肥力土壤,亚热带季风气候,80.0
松树,190,34,肥沃土壤,温带大陆性气候,230.0
栎树,115,24,中等肥力土壤,温带季风气候,135.0
樟树,85,18,肥沃土壤,亚热带季风气候,100.0
榆树,155,30,中等肥力土壤,温带大陆性气候,170.0
槐树,125,26,肥沃土壤,温带季风气候,130.0
桦树,165,32,中等肥力土壤,寒温带与亚寒带气候,200.0
杨树,105,26,贫瘠土壤,干旱与半干旱气候,60.0
桉树,155,32,贫瘠土壤,滨海与盐碱化气候,100.0
杉木,85,20,贫瘠土壤,亚热带季风气候,40.0
松树,205,38,贫瘠土壤,温带大陆性气候,120.0
栎树,125,28,贫瘠土壤,温带季风气候,70.0
樟树,95,22,贫瘠土壤,亚热带季风气候,50.0
榆树,165,34,贫瘠土壤,温带大陆性气候,90.0
槐树,135,30,贫瘠土壤,温带季风气候,65.0
桦树,175,36,贫瘠土壤,寒温带与亚寒带气候,110.0
杨树,98,23,中等肥力土壤,滨海与盐碱化气候,75.0
桉树,148,29,中等肥力土壤,干旱与半干旱气候,105.0
杉木,78,17,中等肥力土壤,温带大陆性气候,70.0
松树,198,35,中等肥力土壤,寒温带与亚寒带气候,130.0
栎树,118,25,中等肥力土壤,滨海与盐碱化气候,80.0
樟树,88,19,中等肥力土壤,干旱与半干旱气候,55.0
榆树,158,31,中等肥力土壤,温带大陆性气候,95.0
槐树,128,27,中等肥力土壤,寒温带与亚寒带气候,75.0
桦树,168,33,中等肥力土壤,滨海与盐碱化气候,105.0
杨树,102,25,肥沃土壤,滨海与盐碱化气候,90.0
桉树,152,31,肥沃土壤,干旱与半干旱气候,120.0
杉木,82,19,肥沃土壤,温带大陆性气候,65.0
松树,192,33,肥沃土壤,寒温带与亚寒带气候,150.0
栎树,112,23,肥沃土壤,滨海与盐碱化气候,85.0
樟树,92,21,肥沃土壤,干旱与半干旱气候,70.0
榆树,152,29,肥沃土壤,温带大陆性气候,110.0
槐树,122,25,肥沃土壤,寒温带与亚寒带气候,90.0
桦树,162,31,肥沃土壤,滨海与盐碱化气候,120.0
杨树,100,24,肥沃土壤,温带季风气候,250.0
杨树,150,36,中等肥力土壤,亚热带季风气候,420.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,100.0
桉树,200,30,肥沃土壤,热带季风气候,550.0
桉树,120,48,中等肥力土壤,亚热带季风气候,380.0
桉树,90,21,贫瘠土壤,滨海与盐碱化气候,120.0
杉木,130,33,肥沃土壤,亚热带季风气候,320.0
杉木,160,42,中等肥力土壤,温带大陆性气候,280.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,80.0
松树,180,39,肥沃土壤,温带大陆性气候,400.0
松树,110,45,中等肥力土壤,温带季风气候,300.0
松树,85,27,贫瘠土壤,干旱与半干旱气候,110.0
栎树,140,36,肥沃土壤,温带季风气候,350.0
栎树,170,48,中等肥力土壤,亚热带季风气候,410.0
栎树,95,24,贫瘠土壤,寒温带与亚寒带气候,90.0
樟树,210,33,肥沃土壤,亚热带季风气候,520.0
樟树,135,42,中等肥力土壤,热带季风气候,360.0
樟树,100,21,贫瘠土壤,滨海与盐碱化气候,130.0
榆树,150,30,肥沃土壤,温带季风气候,290.0
榆树,190,45,中等肥力土壤,温带大陆性气候,330.0
榆树,80,18,贫瘠土壤,干旱与半干旱气候,95.0
槐树,220,36,肥沃土壤,亚热带季风气候,580.0
槐树,140,48,中等肥力土壤,热带季风气候,430.0
槐树,110,24,贫瘠土壤,滨海与盐碱化气候,140.0
桦树,170,33,肥沃土壤,寒温带与亚寒带气候,260.0
桦树,200,42,中等肥力土壤,温带大陆性气候,310.0
桦树,90,15,贫瘠土壤,干旱与半干旱气候,105.0
杨树,125,30,肥沃土壤,亚热带季风气候,300.0
桉树,145,36,中等肥力土壤,热带季风气候,450.0
杉木,105,24,肥沃土壤,温带大陆性气候,230.0
松树,195,42,中等肥力土壤,温带季风气候,350.0
栎树,135,33,肥沃土壤,温带大陆性气候,330.0
樟树,175,48,中等肥力土壤,亚热带季风气候,440.0
榆树,115,27,肥沃土壤,温带季风气候,270.0
槐树,215,39,中等肥力土壤,热带季风气候,500.0
桦树,165,36,肥沃土壤,寒温带与亚寒带气候,240.0
杨树,140,33,中等肥力土壤,温带大陆性气候,290.0
桉树,160,42,肥沃土壤,热带季风气候,520.0
杉木,110,21,中等肥力土壤,亚热带季风气候,200.0
松树,200,45,肥沃土壤,温带大陆性气候,430.0
栎树,150,36,中等肥力土壤,温带季风气候,340.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,200,36,中等肥力土壤,温带大陆性气候,250.0
杨树,150,18,贫瘠土壤,干旱与半干旱气候,60.0
桉树,80,30,肥沃土壤,热带季风气候,180.0
桉树,120,48,中等肥力土壤,亚热带季风气候,300.0
桉树,90,20,贫瘠土壤,滨海与盐碱化气候,70.0
杉木,130,32,肥沃土壤,亚热带季风气候,200.0
杉木,180,42,中等肥力土壤,温带季风气候,280.0
杉木,110,22,贫瘠土壤,寒温带与亚寒带气候,50.0
松树,95,26,肥沃土壤,温带大陆性气候,110.0
松树,155,38,中等肥力土壤,寒温带与亚寒带气候,220.0
松树,105,16,贫瘠土壤,干旱与半干旱气候,40.0
栎树,140,34,肥沃土壤,温带季风气候,210.0
栎树,200,46,中等肥力土壤,亚热带季风气候,320.0
栎树,125,24,贫瘠土壤,滨海与盐碱化气候,80.0
樟树,115,28,肥沃土壤,亚热带季风气候,160.0
樟树,165,40,中等肥力土壤,热带季风气候,260.0
樟树,100,20,贫瘠土壤,温带大陆性气候,60.0
榆树,135,36,肥沃土壤,温带季风气候,190.0
榆树,190,44,中等肥力土壤,温带大陆性气候,290.0
榆树,120,22,贫瘠土壤,干旱与半干旱气候,70.0
槐树,100,24,肥沃土壤,温带季风气候,130.0
槐树,170,38,中等肥力土壤,亚热带季风气候,270.0
槐树,110,20,贫瘠土壤,滨海与盐碱化气候,75.0
桦树,120,30,肥沃土壤,寒温带与亚寒带气候,140.0
桦树,180,42,中等肥力土壤,温带大陆性气候,230.0
桦树,100,18,贫瘠土壤,干旱与半干旱气候,55.0
杨树,160,36,肥沃土壤,亚热带季风气候,240.0
桉树,140,48,肥沃土壤,热带季风气候,360.0
杉木,170,30,中等肥力土壤,亚热带季风气候,220.0
松树,130,24,肥沃土壤,温带大陆性气候,150.0
栎树,190,42,中等肥力土壤,温带季风气候,300.0
樟树,150,36,肥沃土壤,亚热带季风气候,230.0
榆树,120,28,中等肥力土壤,温带大陆性气候,180.0
槐树,140,32,肥沃土壤,温带季风气候,210.0
桦树,160,38,中等肥力土壤,寒温带与亚寒带气候,240.0
杨树,200,48,肥沃土壤,温带季风气候,400.0
桉树,180,42,中等肥力土壤,热带季风气候,340.0
杉木,150,36,肥沃土壤,亚热带季风气候,260.0
松树,140,30,中等肥力土壤,温带大陆性气候,200.0
栎树,160,38,肥沃土壤,温带季风气候,280.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,200.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,40.0
桉树,200,30,肥沃土壤,热带季风气候,350.0
桉树,120,48,中等肥力土壤,亚热带季风气候,280.0
桉树,90,21,贫瘠土壤,滨海与盐碱化气候,60.0
杉木,130,33,肥沃土壤,亚热带季风气候,220.0
杉木,170,42,中等肥力土壤,温带季风气候,250.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,30.0
松树,160,45,肥沃土壤,温带大陆性气候,270.0
松树,110,39,中等肥力土壤,寒温带与亚寒带气候,180.0
松树,140,27,贫瘠土壤,干旱与半干旱气候,70.0
栎树,95,24,肥沃土壤,温带季风气候,130.0
栎树,180,36,中等肥力土壤,亚热带季风气候,230.0
栎树,85,18,贫瘠土壤,滨海与盐碱化气候,45.0
樟树,210,30,肥沃土壤,亚热带季风气候,320.0
樟树,125,48,中等肥力土壤,热带季风气候,290.0
樟树,100,21,贫瘠土壤,干旱与半干旱气候,55.0
榆树,135,33,肥沃土壤,温带大陆性气候,190.0
榆树,175,42,中等肥力土壤,温带季风气候,240.0
榆树,75,15,贫瘠土壤,寒温带与亚寒带气候,35.0
槐树,165,45,肥沃土壤,亚热带季风气候,280.0
槐树,115,39,中等肥力土壤,热带季风气候,200.0
槐树,145,27,贫瘠土壤,滨海与盐碱化气候,75.0
桦树,98,24,肥沃土壤,寒温带与亚寒带气候,140.0
桦树,185,36,中等肥力土壤,温带大陆性气候,210.0
桦树,88,18,贫瘠土壤,干旱与半干旱气候,50.0
杨树,220,36,肥沃土壤,亚热带季风气候,300.0
桉树,155,42,中等肥力土壤,热带季风气候,320.0
杉木,105,27,贫瘠土壤,滨海与盐碱化气候,65.0
松树,190,48,肥沃土壤,温带大陆性气候,310.0
栎树,128,33,中等肥力土壤,温带季风气候,195.0
樟树,82,18,贫瘠土壤,干旱与半干旱气候,42.0
榆树,172,45,肥沃土壤,亚热带季风气候,260.0
槐树,138,30,中等肥力土壤,热带季风气候,215.0
桦树,102,21,贫瘠土壤,寒温带与亚寒带气候,38.0
杨树,100,24,肥沃土壤,温带季风气候,250.0
杨树,150,36,中等肥力土壤,温带大陆性气候,380.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,120.0
桉树,200,48,肥沃土壤,热带季风气候,600.0
桉树,120,30,中等肥力土壤,亚热带季风气候,320.0
桉树,90,21,贫瘠土壤,滨海与盐碱化气候,180.0
杉木,130,33,肥沃土壤,亚热带季风气候,350.0
杉木,160,42,中等肥力土壤,温带季风气候,420.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,90.0
松树,180,45,肥沃土壤,温带大陆性气候,500.0
松树,110,27,中等肥力土壤,寒温带与亚寒带气候,260.0
松树,105,22,贫瘠土壤,干旱与半干旱气候,150.0
栎树,140,39,肥沃土壤,温带季风气候,400.0
栎树,170,45,中等肥力土壤,亚热带季风气候,480.0
栎树,85,20,贫瘠土壤,滨海与盐碱化气候,130.0
樟树,115,28,肥沃土壤,亚热带季风气候,300.0
樟树,145,36,中等肥力土壤,热带季风气候,390.0
樟树,95,23,贫瘠土壤,干旱与半干旱气候,140.0
榆树,125,31,肥沃土壤,温带大陆性气候,330.0
榆树,155,39,中等肥力土壤,温带季风气候,410.0
榆树,80,19,贫瘠土壤,寒温带与亚寒带气候,100.0
槐树,175,42,肥沃土壤,亚热带季风气候,460.0
槐树,100,24,中等肥力土壤,温带大陆性气候,250.0
槐树,90,21,贫瘠土壤,滨海与盐碱化气候,160.0
桦树,135,33,肥沃土壤,寒温带与亚寒带气候,320.0
桦树,165,40,中等肥力土壤,温带季风气候,430.0
桦树,75,16,贫瘠土壤,干旱与半干旱气候,80.0
杨树,220,54,肥沃土壤,亚热带季风气候,650.0
桉树,250,60,肥沃土壤,热带季风气候,800.0
杉木,230,57,肥沃土壤,亚热带季风气候,700.0
松树,240,51,肥沃土壤,温带大陆性气候,750.0
栎树,210,48,肥沃土壤,温带季风气候,620.0
樟树,200,45,肥沃土壤,亚热带季风气候,580.0
榆树,190,42,肥沃土壤,温带大陆性气候,550.0
槐树,180,39,肥沃土壤,亚热带季风气候,520.0
桦树,170,36,肥沃土壤,寒温带与亚寒带气候,490.0
杨树,50,12,贫瘠土壤,干旱与半干旱气候,60.0
桉树,60,15,贫瘠土壤,滨海与盐碱化气候,70.0
杉木,40,9,贫瘠土壤,寒温带与亚寒带气候,40.0
松树,55,10,贫瘠土壤,干旱与半干旱气候,50.0
栎树,65,13,贫瘠土壤,滨海与盐碱化气候,75.0
樟树,45,11,贫瘠土壤,干旱与半干旱气候,55.0
榆树,52,12,贫瘠土壤,寒温带与亚寒带气候,52.0
槐树,63,14,贫瘠土壤,滨海与盐碱化气候,72.0
桦树,48,10,贫瘠土壤,干旱与半干旱气候,48.0
杨树,100,12,肥沃土壤,温带季风气候,20.0
杨树,200,24,中等肥力土壤,亚热带季风气候,50.0
杨树,150,36,贫瘠土壤,干旱与半干旱气候,10.0
桉树,120,18,肥沃土壤,热带季风气候,30.0
桉树,250,30,中等肥力土壤,亚热带季风气候,60.0
桉树,200,48,贫瘠土壤,滨海与盐碱化气候,15.0
杉木,80,15,肥沃土壤,亚热带季风气候,18.0
杉木,180,27,中等肥力土壤,温带大陆性气候,35.0
杉木,130,39,贫瘠土壤,寒温带与亚寒带气候,8.0
松树,110,21,肥沃土壤,温带大陆性气候,22.0
松树,230,33,中等肥力土壤,温带季风气候,55.0
松树,160,45,贫瘠土壤,干旱与半干旱气候,12.0
栎树,90,16,肥沃土壤,温带季风气候,21.0
栎树,210,28,中等肥力土壤,亚热带季风气候,52.0
栎树,140,40,贫瘠土壤,滨海与盐碱化气候,13.0
樟树,105,19,肥沃土壤,亚热带季风气候,23.0
樟树,240,31,中等肥力土壤,热带季风气候,58.0
樟树,170,43,贫瘠土壤,干旱与半干旱气候,14.0
榆树,95,17,肥沃土壤,温带大陆性气候,20.0
榆树,220,29,中等肥力土壤,温带季风气候,53.0
榆树,150,41,贫瘠土壤,寒温带与亚寒带气候,9.0
槐树,115,22,肥沃土壤,温带季风气候,24.0
槐树,260,34,中等肥力土壤,亚热带季风气候,62.0
槐树,175,46,贫瘠土壤,滨海与盐碱化气候,14.0
桦树,85,14,肥沃土壤,寒温带与亚寒带气候,17.0
桦树,190,26,中等肥力土壤,温带大陆性气候,40.0
桦树,125,38,贫瘠土壤,干旱与半干旱气候,10.0
杨树,130,20,肥沃土壤,亚热带季风气候,25.0
桉树,260,36,中等肥力土壤,热带季风气候,65.0
杉木,100,24,肥沃土壤,温带季风气候,24.0
松树,200,30,中等肥力土壤,温带大陆性气候,50.0
栎树,150,27,肥沃土壤,亚热带季风气候,35.0
樟树,220,33,中等肥力土壤,热带季风气候,58.0
榆树,180,36,肥沃土壤,温带季风气候,40.0
槐树,210,39,中等肥力土壤,亚热带季风气候,55.0
桦树,160,30,肥沃土壤,寒温带与亚寒带气候,28.0
杨树,170,36,中等肥力土壤,温带大陆性气候,42.0
桉树,280,48,中等肥力土壤,亚热带季风气候,70.0
杉木,120,24,肥沃土壤,亚热带季风气候,26.0
松树,230,36,中等肥力土壤,温带季风气候,56.0
栎树,160,27,肥沃土壤,亚热带季风气候,38.0
樟树,240,33,中等肥力土壤,热带季风气候,62.0
榆树,190,36,肥沃土壤,温带季风气候,42.0
槐树,220,39,中等肥力土壤,亚热带季风气候,58.0
桦树,170,30,肥沃土壤,寒温带与亚寒带气候,30.0
杨树,100,24,肥沃土壤,温带季风气候,80.0
桉树,150,30,中等肥力土壤,热带季风气候,120.0
杉木,80,18,肥沃土壤,亚热带季风气候,50.0
松树,200,36,中等肥力土壤,寒温带与亚寒带气候,150.0
栎树,120,27,贫瘠土壤,温带大陆性气候,60.0
樟树,90,21,肥沃土壤,亚热带季风气候,70.0
榆树,130,33,中等肥力土壤,温带季风气候,90.0
槐树,160,39,肥沃土壤,温带大陆性气候,110.0
桦树,70,15,中等肥力土壤,寒温带与亚寒带气候,40.0
杨树,110,25,中等肥力土壤,温带大陆性气候,75.0
桉树,140,31,肥沃土壤,热带季风气候,125.0
杉木,90,19,中等肥力土壤,亚热带季风气候,55.0
松树,210,37,肥沃土壤,寒温带与亚寒带气候,155.0
栎树,130,28,中等肥力土壤,温带大陆性气候,65.0
樟树,100,22,中等肥力土壤,亚热带季风气候,75.0
榆树,140,34,肥沃土壤,温带季风气候,95.0
槐树,170,40,中等肥力土壤,温带大陆性气候,115.0
桦树,80,16,肥沃土壤,寒温带与亚寒带气候,45.0
杨树,120,26,贫瘠土壤,温带大陆性气候,68.0
桉树,155,32,中等肥力土壤,热带季风气候,122.0
杉木,95,20,贫瘠土壤,亚热带季风气候,52.0
松树,220,38,中等肥力土壤,寒温带与亚寒带气候,152.0
栎树,140,29,肥沃土壤,温带大陆性气候,68.0
樟树,105,23,中等肥力土壤,亚热带季风气候,72.0
榆树,150,35,贫瘠土壤,温带季风气候,85.0
槐树,180,41,中等肥力土壤,温带大陆性气候,112.0
桦树,85,17,中等肥力土壤,寒温带与亚寒带气候,42.0
杨树,130,27,中等肥力土壤,温带大陆性气候,78.0
桉树,160,33,肥沃土壤,热带季风气候,130.0
杉木,100,21,中等肥力土壤,亚热带季风气候,60.0
松树,230,39,肥沃土壤,寒温带与亚寒带气候,160.0
栎树,150,30,中等肥力土壤,温带大陆性气候,70.0
樟树,110,24,中等肥力土壤,亚热带季风气候,78.0
榆树,160,36,肥沃土壤,温带季风气候,100.0
槐树,190,42,中等肥力土壤,温带大陆性气候,120.0
桦树,90,18,肥沃土壤,寒温带与亚寒带气候,48.0
杨树,140,28,贫瘠土壤,温带大陆性气候,72.0
桉树,165,34,中等肥力土壤,热带季风气候,132.0
杉木,105,22,贫瘠土壤,亚热带季风气候,56.0
松树,240,40,中等肥力土壤,寒温带与亚寒带气候,162.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,200.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,40.0
桉树,120,30,肥沃土壤,热带季风气候,180.0
桉树,90,27,中等肥力土壤,亚热带季风气候,125.0
桉树,110,21,贫瘠土壤,滨海与盐碱化气候,70.0
杉木,130,33,肥沃土壤,亚热带季风气候,160.0
杉木,140,42,中等肥力土壤,温带季风气候,190.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,30.0
松树,160,48,肥沃土壤,温带大陆性气候,240.0
松树,105,39,中等肥力土壤,寒温带与亚寒带气候,150.0
松树,85,24,贫瘠土壤,干旱与半干旱气候,50.0
栎树,95,30,肥沃土壤,温带季风气候,110.0
栎树,125,36,中等肥力土壤,亚热带季风气候,140.0
栎树,75,21,贫瘠土壤,滨海与盐碱化气候,60.0
樟树,115,27,肥沃土壤,亚热带季风气候,135.0
樟树,135,33,中等肥力土壤,热带季风气候,170.0
樟树,80,18,贫瘠土壤,干旱与半干旱气候,45.0
榆树,100,24,肥沃土壤,温带大陆性气候,120.0
榆树,140,36,中等肥力土壤,温带季风气候,180.0
榆树,90,18,贫瘠土壤,寒温带与亚寒带气候,55.0
槐树,120,30,肥沃土壤,亚热带季风气候,150.0
槐树,130,33,中等肥力土壤,热带季风气候,165.0
槐树,85,21,贫瘠土壤,滨海与盐碱化气候,75.0
桦树,150,42,肥沃土壤,寒温带与亚寒带气候,220.0
桦树,110,36,中等肥力土壤,温带大陆性气候,140.0
桦树,95,24,贫瘠土壤,干旱与半干旱气候,60.0
